ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000858.SZ,2024-10-30,149.0,151.31,147.3,148.8,150.8,-2.0,-1.3263,211870.42,3158474.275
000858.SZ,2024-10-31,147.0,149.2,145.41,146.83,148.8,-1.97,-1.3239,269440.88,3957475.707
000858.SZ,2024-11-01,145.72,150.8,145.72,147.92,146.83,1.09,0.7424,227191.98,3379402.018
000858.SZ,2024-11-04,148.5,149.21,146.08,148.6,147.92,0.68,0.4597,205051.85,3030626.417
000858.SZ,2024-11-05,148.0,152.99,146.8,152.8,148.6,4.2,2.8264,320318.09,4839032.609
000858.SZ,2024-11-06,152.76,153.0,149.15,151.25,152.8,-1.55,-1.0144,302065.6,4568777.903
000858.SZ,2024-11-07,150.04,163.02,149.83,162.24,151.25,10.99,7.2661,671871.5,10602928.042
000858.SZ,2024-11-08,164.0,164.6,156.0,156.47,162.24,-5.77,-3.5565,567473.65,9025428.028
000858.SZ,2024-11-11,153.35,154.85,151.2,154.82,156.47,-1.65,-1.0545,366012.07,5603393.228
000858.SZ,2024-11-12,154.82,159.0,153.65,154.3,154.82,-0.52,-0.3359,351346.82,5496005.682
000858.SZ,2024-11-13,153.0,155.33,152.66,153.94,154.3,-0.36,-0.2333,194334.0,2990077.535
000858.SZ,2024-11-14,153.11,155.88,152.15,153.49,153.94,-0.45,-0.2923,217927.82,3357496.178
000858.SZ,2024-11-15,153.48,154.13,150.55,151.29,153.49,-2.2,-1.4333,255442.69,3894476.943
000858.SZ,2024-11-18,151.28,153.36,149.0,149.33,151.29,-1.96,-1.2955,209861.01,3164795.003
000858.SZ,2024-11-19,149.56,150.64,145.3,148.45,149.33,-0.88,-0.5893,233413.46,3447738.671
000858.SZ,2024-11-20,148.45,150.39,147.2,149.6,148.45,1.15,0.7747,149815.38,2233265.261
000858.SZ,2024-11-21,149.0,150.1,148.16,149.5,149.6,-0.1,-0.0668,114460.54,1706377.342
000858.SZ,2024-11-22,149.4,150.01,144.65,144.89,149.5,-4.61,-3.0836,189424.74,2785311.385
000858.SZ,2024-11-25,145.89,147.18,142.7,143.8,144.89,-1.09,-0.7523,191689.95,2771219.117
000858.SZ,2024-11-26,143.5,146.6,142.5,144.8,143.8,1.0,0.6954,175357.82,2539251.07
000858.SZ,2024-11-27,144.77,147.89,143.58,147.05,144.8,2.25,1.5539,200249.78,2921829.64
000858.SZ,2024-11-28,145.0,146.95,143.8,144.0,147.05,-3.05,-2.0741,190453.87,2760020.464
