ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920768.BJ,2024-10-28,7.4,7.7,6.9,7.59,7.05,0.54,7.6596,60454.08,43814.767
920768.BJ,2024-10-29,7.65,8.22,7.45,8.05,7.59,0.46,6.0606,65290.88,51417.247
920768.BJ,2024-10-30,8.09,9.59,7.71,8.84,8.05,0.79,9.8137,112460.48,96136.193
920768.BJ,2024-10-31,8.65,8.72,7.79,8.03,8.84,-0.81,-9.1629,88049.14,72157.36
920768.BJ,2024-11-01,8.04,8.2,7.2,7.49,8.03,-0.54,-6.7248,58682.48,45290.462
920768.BJ,2024-11-04,7.49,7.98,7.49,7.84,7.49,0.35,4.6729,38936.39,30258.029
920768.BJ,2024-11-05,7.87,8.55,7.74,8.49,7.84,0.65,8.2908,78773.96,65312.875
920768.BJ,2024-11-06,8.92,10.48,8.55,9.38,8.49,0.89,10.4829,123182.17,114381.274
920768.BJ,2024-11-07,9.1,11.49,8.84,10.85,9.38,1.47,15.6716,146397.85,153491.728
920768.BJ,2024-11-08,10.53,10.69,9.49,9.61,10.85,-1.24,-11.4286,118949.05,119398.353
920768.BJ,2024-11-11,9.8,9.9,8.88,9.22,9.61,-0.39,-4.0583,77173.46,71010.288
920768.BJ,2024-11-12,9.32,9.68,8.94,9.25,9.22,0.03,0.3254,53151.64,49250.43
920768.BJ,2024-11-13,9.14,9.3,8.61,9.26,9.25,0.01,0.1081,51237.58,45894.169
920768.BJ,2024-11-14,9.25,9.43,9.08,9.1,9.26,-0.16,-1.7279,39107.25,36094.824
920768.BJ,2024-11-15,9.03,9.3,8.86,9.08,9.1,-0.02,-0.2198,43746.45,39889.041
920768.BJ,2024-11-18,9.3,9.98,8.9,9.34,9.08,0.26,2.8634,76514.23,72375.75
920768.BJ,2024-11-19,9.33,9.33,8.0,8.55,9.34,-0.79,-8.4582,73850.51,63361.324
920768.BJ,2024-11-20,8.52,8.96,8.44,8.95,8.55,0.4,4.6784,57276.72,50025.84
920768.BJ,2024-11-21,8.9,9.8,8.75,9.6,8.95,0.65,7.2626,79486.38,74307.901
920768.BJ,2024-11-22,9.7,10.13,9.31,9.35,9.6,-0.25,-2.6042,93285.16,90624.785
920768.BJ,2024-11-25,9.99,12.12,9.58,10.57,9.35,1.22,13.0481,175430.55,189039.528
920768.BJ,2024-11-26,10.2,12.6,9.93,11.45,10.57,0.88,8.3254,220032.56,251707.249
920768.BJ,2024-11-27,11.0,12.36,9.96,11.97,11.45,0.52,4.5415,194455.7,213674.58
920768.BJ,2024-11-28,11.8,13.9,11.5,12.45,11.97,0.48,4.01,206967.05,259014.785
920768.BJ,2024-11-29,11.91,12.97,11.4,11.75,12.45,-0.7,-5.6225,146268.55,176337.517
920768.BJ,2024-12-02,11.51,11.51,11.0,11.25,11.75,-0.5,-4.2553,137408.39,153796.815
920768.BJ,2024-12-03,11.15,11.38,10.92,11.1,11.25,-0.15,-1.3333,86086.9,95633.297
920768.BJ,2024-12-04,10.91,11.17,10.41,10.55,11.1,-0.55,-4.955,71136.41,76586.682
920768.BJ,2024-12-05,10.5,10.96,10.48,10.62,10.55,0.07,0.6635,49902.4,53045.024
920768.BJ,2024-12-06,10.66,10.79,10.35,10.36,10.62,-0.26,-2.4482,47578.74,50218.318
920768.BJ,2024-12-09,10.49,10.49,9.3,9.3,10.36,-1.06,-10.2317,65911.02,64351.369
920768.BJ,2024-12-10,9.85,10.19,9.39,9.44,9.3,0.14,1.5054,61745.74,60804.071
920768.BJ,2024-12-11,9.36,9.56,9.0,9.07,9.44,-0.37,-3.9195,51880.23,47871.742
920768.BJ,2024-12-12,9.07,9.2,8.69,9.11,9.07,0.04,0.441,45913.72,41028.957
920768.BJ,2024-12-13,9.15,10.09,9.1,9.51,9.11,0.4,4.3908,76313.59,73501.611
920768.BJ,2024-12-16,9.49,10.35,9.3,10.01,9.51,0.5,5.2576,84972.07,84618.425
920768.BJ,2024-12-17,10.0,10.26,9.15,9.18,10.01,-0.83,-8.2917,54059.3,51477.55
920768.BJ,2024-12-18,9.1,9.47,8.73,8.79,9.18,-0.39,-4.2484,40505.49,36615.58
920768.BJ,2024-12-19,8.74,8.9,8.06,8.74,8.79,-0.05,-0.5688,56632.7,47785.501
920768.BJ,2024-12-20,8.77,8.92,8.46,8.55,8.74,-0.19,-2.1739,33845.04,29388.81
920768.BJ,2024-12-23,8.46,8.56,7.95,7.96,8.55,-0.59,-6.9006,46157.41,37857.666
920768.BJ,2024-12-24,7.99,8.12,7.61,7.84,7.96,-0.12,-1.5075,30081.51,23581.355
920768.BJ,2024-12-25,7.85,7.99,7.48,7.51,7.84,-0.33,-4.2092,27759.71,21400.156
920768.BJ,2024-12-26,7.5,7.72,7.45,7.5,7.51,-0.01,-0.1332,26658.03,20197.909
920768.BJ,2024-12-27,7.55,7.67,7.4,7.6,7.5,0.1,1.3333,27967.73,21182.913
920768.BJ,2024-12-30,7.57,7.65,7.12,7.27,7.6,-0.33,-4.3421,32294.32,23727.555
920768.BJ,2024-12-31,7.2,7.65,7.2,7.4,7.27,0.13,1.7882,37162.49,27512.088
920768.BJ,2025-01-02,7.39,7.54,7.17,7.26,7.4,-0.14,-1.8919,24003.79,17660.712
920768.BJ,2025-01-03,7.34,7.44,7.0,7.22,7.26,-0.04,-0.551,28365.6,20437.596
920768.BJ,2025-01-06,7.21,7.28,6.99,7.01,7.22,-0.21,-2.9086,23353.37,16603.892
920768.BJ,2025-01-07,7.16,7.21,6.98,7.2,7.01,0.19,2.7104,28069.25,19889.8
920768.BJ,2025-01-08,7.15,7.85,7.12,7.78,7.2,0.58,8.0556,75276.4,57015.731
920768.BJ,2025-01-09,7.65,7.85,7.55,7.75,7.78,-0.03,-0.3856,66415.32,51362.52
920768.BJ,2025-01-10,7.73,7.75,7.1,7.19,7.75,-0.56,-7.2258,37840.12,28235.974
920768.BJ,2025-01-13,7.09,7.26,7.0,7.0,7.19,-0.19,-2.6426,18893.67,13398.328
920768.BJ,2025-01-14,7.02,7.67,7.02,7.65,7.0,0.65,9.2857,44443.72,33082.031
920768.BJ,2025-01-15,7.65,7.93,7.54,7.65,7.65,0.0,0.0,41270.47,31949.971
920768.BJ,2025-01-16,7.78,8.49,7.75,7.93,7.65,0.28,3.6601,69137.84,55752.357
920768.BJ,2025-01-17,7.81,8.13,7.7,7.7,7.93,-0.23,-2.9004,41991.53,33008.677
920768.BJ,2025-01-20,7.82,7.92,7.56,7.56,7.7,-0.14,-1.8182,27974.44,21653.801
920768.BJ,2025-01-21,7.67,7.7,7.39,7.49,7.56,-0.07,-0.9259,21880.98,16381.665
920768.BJ,2025-01-22,7.5,7.55,7.22,7.29,7.49,-0.2,-2.6702,17880.43,13122.484
920768.BJ,2025-01-23,7.56,7.64,7.2,7.2,7.29,-0.09,-1.2346,23488.1,17489.947
920768.BJ,2025-01-24,7.29,7.36,7.18,7.3,7.2,0.1,1.3889,17596.39,12817.004
920768.BJ,2025-01-27,7.45,7.5,7.25,7.26,7.3,-0.04,-0.5479,16764.39,12309.098
920768.BJ,2025-02-05,7.22,7.34,7.15,7.2,7.26,-0.06,-0.8264,17479.97,12637.462
920768.BJ,2025-02-06,7.2,7.58,7.06,7.52,7.2,0.32,4.4444,32176.02,23701.79
920768.BJ,2025-02-07,7.53,7.95,7.49,7.79,7.52,0.27,3.5904,50088.41,38703.447
920768.BJ,2025-02-10,7.9,8.18,7.68,8.11,7.79,0.32,4.1078,55993.48,44605.12
920768.BJ,2025-02-11,8.11,8.5,8.06,8.45,8.11,0.34,4.1924,75163.26,62727.844
