ts_code,symbol,name,fullname,enname,area,industry,name_pinyin,enname_norm
000001.SZ,000001,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",深圳,银行,pinganyinhang,pinganbankcoltd
000002.SZ,000002,万科A,万科企业股份有限公司,"China Vanke Co.,Ltd.",深圳,全国地产,wankea,chinavankecoltd
000004.SZ,000004,*ST国华,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",深圳,软件服务,*stguohua,shenzhenguohuanetworksecuritytechnologycoltd
000006.SZ,000006,深振业A,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co., Ltd.",深圳,区域地产,shenzhenyea,shenzhenzhenyegroupcoltd
000007.SZ,000007,全新好,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co,.Ltd.",深圳,其他商业,quanxinhao,shenzhenquanxinhaocoltd
000008.SZ,000008,神州高铁,神州高铁技术股份有限公司,"China High Speed Railway Technology Co.,Ltd.",北京,运输设备,shenzhougaotie,chinahighspeedrailwaytechnologycoltd
000009.SZ,000009,中国宝安,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",深圳,电气设备,zhongguobaoan,chinabaoangroupcoltd
000010.SZ,000010,美丽生态,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",深圳,建筑工程,meilishengtai,shenzhenecobeautycoltd
000011.SZ,000011,深物业A,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,深圳,房产服务,shenwuyea,shenzhenpropertiesresourcesdevelopmentgroupltd
000012.SZ,000012,南玻A,中国南玻集团股份有限公司,"CSG Holding Co., Ltd.",深圳,玻璃,nanboa,csgholdingcoltd
000014.SZ,000014,沙河股份,沙河实业股份有限公司,"Shahe Industrial Co., Ltd.",深圳,全国地产,shahegufen,shaheindustrialcoltd
000016.SZ,000016,深康佳A,康佳集团股份有限公司,"Konka Group Co.,Ltd",深圳,家用电器,shenkangjiaa,konkagroupcoltd
000017.SZ,000017,深中华A,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,深圳,服饰,shenzhonghuaa,shenzhenchinabicyclecompanyholdingslimited
000019.SZ,000019,深粮控股,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co.,Ltd",深圳,农业综合,shenliangkonggu,shenzhencerealsholdingscoltd
000020.SZ,000020,深华发A,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",深圳,元器件,shenhuafaa,shenzhenzhonghenghuafacoltd
000021.SZ,000021,深科技,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",深圳,元器件,shenkeji,shenzhenkaifatechnologycoltd
000025.SZ,000025,特力A,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd.",深圳,综合类,telia,shenzhentellusholdingcoltd
000026.SZ,000026,飞亚达,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",深圳,服饰,feiyada,fiytaprecisiontechnologycoltd
000027.SZ,000027,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",深圳,火力发电,shenzhennengyuan,shenzhenenergygroupcoltd
000028.SZ,000028,国药一致,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,深圳,医药商业,guoyaoyizhi,chinanationalaccordmedicinescorporationltd
000029.SZ,000029,深深房A,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",深圳,区域地产,shenshenfanga,shenzhenspecialeconomiczonerealestatepropertiesgroupcoltd
000030.SZ,000030,富奥股份,富奥汽车零部件股份有限公司,Fawer Automotive Parts Limited Company,吉林,汽车配件,fuaogufen,fawerautomotivepartslimitedcompany
000031.SZ,000031,大悦城,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co.,Ltd.",深圳,全国地产,dayuecheng,grandjoyholdingsgroupcoltd
000032.SZ,000032,深桑达A,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",深圳,建筑工程,shensangdaa,shenzhensedindustrycoltd
000034.SZ,000034,神州数码,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",深圳,软件服务,shenzhoushuma,digitalchinagroupcoltd
